10.1145/1490270.1490272	http://dx.doi.org/10.1145/1490270.1490272	Algebrization: A New Barrier in Complexity Theory	Scott Aaronson;Avi Wigderson	arithmetization;communication complexity;computation by abstract devices;interactive proofs;low-degree polynomials;oracles;query complexity;theory
10.1145/1490270.1490273	http://dx.doi.org/10.1145/1490270.1490273	A Simple Proof of Bazzi&rsquo;s Theorem	Alexander Razborov	dnf;probabilistic computation;pseudo-random generators;theory
10.1145/1490270.1490274	http://dx.doi.org/10.1145/1490270.1490274	Directed Planar Reachability Is in Unambiguous Log-Space	Chris Bourke;Raghunath Tewari;N. V. Vinodchandran	algorithms;directed graph reachability;path and circuit problems;planar graphs;relations among complexity classes;theory;unambiguous log-space
10.1145/1497577.1497578	http://dx.doi.org/10.1145/1497577.1497578	Clustering high-dimensional data: A survey on subspace clustering, pattern-based clustering, and correlation clustering	Hans-Peter Kriegel;Peer Kr&#246;ger;Arthur Zimek	algorithms;clustering;data mining;high-dimensional data;survey;theory
10.1145/1552303.1552304	http://dx.doi.org/10.1145/1552303.1552304	Author name disambiguation in MEDLINE	Vetle I. Torvik;Neil R. Smalheiser	algorithms;bibliographic databases;clustering;design methodology;digital libraries;experimentation;information search and retrieval;models;name disambiguation;performance
10.1145/1595391.1595392	http://dx.doi.org/10.1145/1595391.1595392	Improved Separations between Nondeterministic and Randomized Multiparty Communication	Matei David;Toniann Pitassi;Emanuele Viola	communication complexity;lower bound;nondeterminism;number on forehead;randomization;relations among complexity classes;relations among complexity measures;theory
10.1145/1595391.1595393	http://dx.doi.org/10.1145/1595391.1595393	Hardness of Solving Sparse Overdetermined Linear Systems: A 3-Query PCP over Integers	Venkatesan Guruswami;Prasad Raghavendra	algorithms;analysis of algorithms and problem complexity;hardness of approximation;linearity testing;probabilistically checkable proofs;sparse linear equations;theory
10.1145/1644873.1644874	http://dx.doi.org/10.1145/1644873.1644874	Factor in the neighbors: Scalable and accurate collaborative filtering	Yehuda Koren	algorithms;collaborative filtering;data mining;information filtering;netflix prize;recommender systems
10.1145/1714450.1714453	http://dx.doi.org/10.1145/1714450.1714453	Planarity, Determinants, Permanents, and (Unique) Matchings	Samir Datta;Raghav Kulkarni;Nutan Limaye;Meena Mahajan	algorithms;bipartite graphs;computations on discrete structures;counting classes;determinant;path and circuit problems;perfect matching;permanent;planarity;relations among complexity classes;theory
10.1145/1867719.1867721	http://dx.doi.org/10.1145/1867719.1867721	Tradeoffs and Average-Case Equilibria in Selfish Routing	Martin Hoefer;Alexander Souza	algorithms;average-case analysis;economics;multiagent systems;price of anarchy;selfish routing;sequencing and scheduling;theory
10.1145/1944857.1944858	http://dx.doi.org/10.1145/1944857.1944858	Lower Bounds for Coin-Weighing Problems	Eric Purdy	algorithms;coin-weighing problems;complexity of proof procedures;relations among complexity measures;theory
10.1145/1944857.1944859	http://dx.doi.org/10.1145/1944857.1944859	Solvable Group Isomorphism Is (Almost) in NP &#8745; coNP	Vikraman Arvind;Jacobo Tor&#225;n	algorithms;arthur-merlin games;computational and structural complexity;computations on discrete structures;derandomization;limited nondeterminism;relations between models;theory
10.1145/2071379.2071383	http://dx.doi.org/10.1145/2071379.2071383	Cache-Oblivious Algorithms	Matteo Frigo;Charles E. Leiserson;Harald Prokop;Sridhar Ramachandran	algorithm;algorithms;analysis of algorithms and problem complexity;cache-oblivious;caching;fast fourier transform;i/o complexity;matrix multiplication;matrix transpose;sorting;theory
10.1145/2077336.2077337	http://dx.doi.org/10.1145/2077336.2077337	Pebbles and Branching Programs for Tree Evaluation	Stephen Cook;Pierre McKenzie;Dustin Wehr;Mark Braverman;Rahul Santhanam	branching programs;general;log space;logdcfl;lower bounds;theory
10.1145/2086737.2086741	http://dx.doi.org/10.1145/2086737.2086741	Inferring Networks of Diffusion and Influence	Manuel Gomez-Rodriguez;Jure Leskovec;Andreas Krause	algorithms;blogs;data mining;experimentation;information cascades;meme-tracking;networks of diffusion;news media;social networks
10.1145/2133360.2133364	http://dx.doi.org/10.1145/2133360.2133364	A Modular Machine Learning System for Flow-Level Traffic Classification in Large Networks	Yu Jin;Nick Duffield;Jeffrey Erman;Patrick Haffner;Subhabrata Sen;Zhi-Li Zhang	algorithms;classifier design and evaluation;communications network;machine learning;measurement;network management;theory;traffic classification
10.1145/2141938.2141939	http://dx.doi.org/10.1145/2141938.2141939	Exact Quantum Algorithms for the Leader Election Problem	Seiichiro Tani;Hirotada Kobayashi;Keiji Matsumoto	algorithms;distributed computing;distributed networks;general;models of computation;modes of computation;network protocols;quantum algorithms;quantum communication;theory
10.1145/2141938.2141941	http://dx.doi.org/10.1145/2141938.2141941	Extractors and Lower Bounds for Locally Samplable Sources	Anindya De;Thomas Watson	algorithms;extractors;locally samplable sources;lower bounds;probabilistic computation;theory
10.1145/2189778.2189780	http://dx.doi.org/10.1145/2189778.2189780	Complexity Theory for Operators in Analysis	Akitoshi Kawamura;Stephen Cook	complexity measures and classes;computable analysis;computational complexity;higher-type complexity;second-order polynomials;theory
10.1145/2362383.2362384	http://dx.doi.org/10.1145/2362383.2362384	Learning bayesian networks from Markov random fields: An efficient algorithm for linear models	Zhenxing Wang;Laiwan Chan	algorithms;bayesian networks;causal modeling;data mining;graphical models;performance
10.1145/2362383.2362387	http://dx.doi.org/10.1145/2362383.2362387	Forecasting in the NBA and other team sports: Network effects in action	Pedro O. S. Vaz de Melo;Virgilio A. F. Almeida;Antonio A. F. Loureiro;Christos Faloutsos	complex networks;data mining;social networks;sports analytics;statistical computing;theory
10.1145/2382559.2382560	http://dx.doi.org/10.1145/2382559.2382560	On the Sum of Square Roots of Polynomials and Related Problems	Neeraj Kayal;Chandan Saha	algorithms;arithmetic circuits;numerical algorithms and problems;polynomials;sum of square roots;theory
10.1145/2382559.2382561	http://dx.doi.org/10.1145/2382559.2382561	A Parallel Repetition Theorem for Constant-Round Arthur-Merlin Proofs	Rafael Pass;Muthuramakrishnan Venkitasubramaniam	interactive proofs;modes of computation;parallel-repetition;public-coin protocols;security;soundness error;theory
10.1145/2382559.2382562	http://dx.doi.org/10.1145/2382559.2382562	Approximating the Influence of Monotone Boolean Functions in O(&#x0221A;n) Query Complexity	Dana Ron;Ronitt Rubinfeld;Muli Safra;Alex Samorodnitsky;Omri Weinstein	algorithms;combinatorial algorithms;influence of a boolean function;sublinear query approximation algorithms;symmetric chains;theory
10.1145/2382559.2382563	http://dx.doi.org/10.1145/2382559.2382563	On the Computational Complexity of Stochastic Controller Optimization in POMDPs	Nikos Vlassis;Michael L. Littman;David Barber	bilinear program;computational complexity;computations on polynomials;matrix fractional program;motzkin-straus theorem;nonlinear optimization;numerical algorithms and problems;partially observable markov decision process;performance;stochastic controller;sum-of-square-roots problem
10.1145/2390176.2390177	http://dx.doi.org/10.1145/2390176.2390177	Approximating minimum-cost connectivity problems via uncrossable bifamilies	Zeev Nutov	algorithms;approximation algorithms;computations on discrete structures;graph algorithms;graph connectivity;node-costs;rooted connectivity;theory
10.1145/2390176.2390180	http://dx.doi.org/10.1145/2390176.2390180	A compact routing scheme and approximate distance oracle for power-law graphs	Wei Chen;Christian Sommer;Shang-Hua Teng;Yajun Wang	algorithms;complex networks;distance oracle;graph theory;network protocols;nonnumerical algorithms and problems;power-law graphs;shortest path;shortest-path query;theory
10.1145/2390176.2390188	http://dx.doi.org/10.1145/2390176.2390188	On exact algorithms for treewidth	Hans L. Bodlaender;Fedor V. Fomin;Arie M. C. A. Koster;Dieter Kratsch;Dimitrios M. Thilikos	algorithms;computations on discrete structures;design;dynamic programming;exact algorithms;experimentation;graph algorithms;graph theory;separators;theory;treewidth
10.1145/2435209.2435210	http://dx.doi.org/10.1145/2435209.2435210	Nearest Neighbor-Based Classification of Uncertain Data	Fabrizio Angiulli;Fabio Fassetti	algorithms;classification;data mining;nearest neighbor;nearest neighbor rule;probability density functions;uncertain data
10.1145/2435209.2435211	http://dx.doi.org/10.1145/2435209.2435211	Comparative Document Summarization via Discriminative Sentence Selection	Dingding Wang;Shenghuo Zhu;Tao Li;Yihong Gong	algorithms;comparative document summarization;discriminative sentence selection;experimentation;information search and retrieval;learning;performance
10.1145/2435209.2435212	http://dx.doi.org/10.1145/2435209.2435212	Message-Passing Algorithms for Sparse Network Alignment	Mohsen Bayati;David F. Gleich;Amin Saberi;Ying Wang	algorithms;belief propagation;general;graph matching;message-passing;network alignment
10.4018/jdwm.2010090804	http://dx.doi.org/10.4018/jdwm.2010090804	Mining Frequent Generalized Patterns for Web Personalization in the Presence of Taxonomies	Panagiotis Giannikopoulos;Iraklis Varlamis;Magdalini Eirinaki	apriori;fp-growth;frequent pattern mining;generalized association rule mining;gp-close
10.1145/2438645.2438646	http://dx.doi.org/10.1145/2438645.2438646	Replacement Paths and Distance Sensitivity Oracles via Fast Matrix Multiplication	Oren Weimann;Raphael Yuster	algorithms;computations on discrete structures;design;distance oracles;fault tolerance;graph theory;replacement paths;shortest paths;theory
10.1145/2438645.2438647	http://dx.doi.org/10.1145/2438645.2438647	Approximating the Girth	Liam Roditty;Roei Tov	algorithms;approximation;girth;graph theory;graphs;minimum weight cycle;performance;theory
10.1145/2438645.2438648	http://dx.doi.org/10.1145/2438645.2438648	An O(log n)-Approximation Algorithm for the Edge-Disjoint Paths Problem in Eulerian Planar Graphs	Ken-Ichi Kawarabayashi;Yusuke Kobayashi	4-edge-connected graph;algorithms;approximation algorithm;edge-disjoint paths;eulerian graph;graph theory
10.1145/2438645.2438650	http://dx.doi.org/10.1145/2438645.2438650	Speed Scaling with an Arbitrary Power Function	Nikhil Bansal;Ho-Leung Chan;Kirk Pruhs	algorithms;design;nonnumerical algorithms and problems;performance;scheduling;speed scaling
10.1145/2438645.2438651	http://dx.doi.org/10.1145/2438645.2438651	Approximation Algorithms for a Minimization Variant of the Order-Preserving Submatrices and for Biclustering Problems	Dorit S. Hochbaum;Asaf Levin	algorithms;approximation algorithm;biclustering;combinatorics;gene expression;order preserving;theory
